year,price,transmission,mileage,fuel_type,engine_size,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol
2019,33599,Semi-Auto,1000.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,31999,Semi-Auto,1000.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,33799,Semi-Auto,2014.0,Diesel,2.0,0,0,0,1,1,0,0,0
2015,15991,Semi-Auto,35000.0,Diesel,2.1,0,0,0,1,1,0,0,0
2017,14990,Semi-Auto,76982.0,Hybrid,2.0,0,0,0,1,0,1,0,0
2019,25900,Semi-Auto,9625.0,Petrol,1.5,0,0,0,1,0,0,0,1
2016,20890,Semi-Auto,25726.0,Diesel,2.1,0,0,0,1,1,0,0,0
2018,26000,Semi-Auto,19800.0,Petrol,2.0,0,0,0,1,0,0,0,1
2017,25490,Semi-Auto,9714.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,23000,Semi-Auto,14627.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,26299,Semi-Auto,9163.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,19999,Semi-Auto,13591.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,29399,Semi-Auto,4208.0,Diesel,2.0,0,0,0,1,1,0,0,0
2014,14999,Semi-Auto,39501.0,Diesel,2.1,0,0,0,1,1,0,0,0
2014,11999,Semi-Auto,28000.0,Petrol,1.6,0,0,0,1,0,0,0,1
2019,25399,Semi-Auto,3585.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,20799,Semi-Auto,13356.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,20299,Semi-Auto,14375.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,19849,Semi-Auto,14085.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,26899,Semi-Auto,2000.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,30399,Semi-Auto,7163.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,26399,Semi-Auto,3553.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,24699,Semi-Auto,4040.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,32069,Semi-Auto,1000.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,30599,Semi-Auto,4504.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,28799,Semi-Auto,5136.0,Diesel,1.6,0,0,0,1,1,0,0,0
2019,30099,Semi-Auto,4701.0,Diesel,1.6,0,0,0,1,1,0,0,0
2019,32429,Semi-Auto,1000.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,33599,Semi-Auto,2679.0,Diesel,2.0,0,0,0,1,1,0,0,0
2018,25949,Semi-Auto,11961.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,29399,Semi-Auto,7224.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,32049,Semi-Auto,2365.0,Diesel,2.0,0,0,0,1,1,0,0,0
2018,23149,Semi-Auto,17000.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,28999,Semi-Auto,4938.0,Diesel,2.0,0,0,0,1,1,0,0,0
2014,14299,Semi-Auto,47399.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,25389,Semi-Auto,2000.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,25389,Semi-Auto,2000.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,24389,Semi-Auto,2000.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,26899,Semi-Auto,2000.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,30749,Semi-Auto,2000.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,20999,Semi-Auto,9883.0,Diesel,2.0,0,0,0,1,1,0,0,0
2018,18899,Semi-Auto,13924.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,34579,Semi-Auto,1000.0,Petrol,1.5,0,0,0,1,0,0,0,1
2015,17399,Semi-Auto,21019.0,Diesel,2.1,0,0,0,1,1,0,0,0
2017,24999,Semi-Auto,21210.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,26099,Semi-Auto,5433.0,Petrol,1.5,0,0,0,1,0,0,0,1
2017,15999,Semi-Auto,34301.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,30099,Semi-Auto,2924.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,30299,Semi-Auto,4284.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,25399,Semi-Auto,10260.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,26599,Semi-Auto,8912.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,25449,Semi-Auto,13280.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,25699,Semi-Auto,11793.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,20299,Semi-Auto,14271.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,29949,Semi-Auto,8208.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,20449,Semi-Auto,13181.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,25549,Semi-Auto,14995.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,25349,Semi-Auto,9687.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,28300,Semi-Auto,6519.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,28000,Semi-Auto,11549.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,28800,Semi-Auto,3116.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,29000,Semi-Auto,4650.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,25000,Semi-Auto,481.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,29000,Semi-Auto,2198.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,41000,Semi-Auto,5339.0,Petrol,3.0,0,0,0,1,0,0,0,1
2019,31450,Semi-Auto,5104.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,31500,Semi-Auto,7000.0,Diesel,2.0,0,0,0,1,1,0,0,0
2016,13000,Automatic,53065.0,Diesel,2.1,1,0,0,0,1,0,0,0
2019,25299,Semi-Auto,4004.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,25599,Semi-Auto,2648.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,26599,Semi-Auto,12961.0,Petrol,1.5,0,0,0,1,0,0,0,1
2019,28099,Semi-Auto,20001.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,24599,Semi-Auto,9905.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,27349,Semi-Auto,5917.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,29549,Semi-Auto,5071.0,Diesel,2.0,0,0,0,1,1,0,0,0
2019,29999,Semi-Auto,7193.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,29399,Semi-Auto,8123.0,Diesel,2.0,0,0,0,1,1,0,0,0
2018,25999,Automatic,7317.0,Petrol,1.5,1,0,0,0,0,0,0,1
2019,41099,Semi-Auto,8370.0,Petrol,3.0,0,0,0,1,0,0,0,1
2017,24000,Automatic,17030.0,Diesel,2.1,1,0,0,0,1,0,0,0
2014,16450,Semi-Auto,27032.0,Diesel,2.1,0,0,0,1,1,0,0,0
2017,19750,Semi-Auto,27959.0,Petrol,2.0,0,0,0,1,0,0,0,1
2019,52000,Automatic,5072.0,Petrol,4.0,1,0,0,0,0,0,0,1
2016,20299,Semi-Auto,6605.0,Petrol,2.0,0,0,0,1,0,0,0,1
2016,21600,Semi-Auto,33028.0,Diesel,2.1,0,0,0,1,1,0,0,0
2019,27750,Semi-Auto,2192.0,Petrol,1.5,0,0,0,1,0,0,0,1
